date,hour,BP_Qin,BP_Level,BP_Inlet,BP_F_Kingkeaw1,BP_F_Kingkeaw2,BP_F_Epec,BP_P_Kingkeaw1,BP_P_Kingkeaw2,BP_P_Epec,TotalFlow
2026-03-01,0,18219.0,4.39,7.61,-196.0,8566.0,5881.0,8.1,8.56,8.9,14251.0
2026-03-01,1,17523.0,4.69,8.06,-170.0,8705.0,6018.0,8.49,8.94,9.3,14554.0
2026-03-01,2,17379.0,4.97,8.53,-174.0,8635.0,5935.0,8.79,9.23,9.6,14396.0
2026-03-01,3,17616.0,5.3,8.98,-195.0,8381.0,6731.0,8.93,9.37,8.78,14918.0
2026-03-01,4,18412.0,5.67,9.28,-13.0,10047.0,5976.0,11.44,11.83,8.65,16010.0
2026-03-01,5,19138.0,5.72,9.39,4219.0,9438.0,6766.0,19.4,19.5,10.8,20423.0
2026-03-01,6,22155.0,5.59,9.23,4989.0,10865.0,8826.0,25.06,24.97,17.0,24680.0
2026-03-01,7,21841.0,5.22,9.22,6679.0,10138.0,10433.0,27.05,26.83,21.4,27250.0
2026-03-01,8,23275.0,4.69,9.35,8445.0,8912.0,11178.0,28.37,28.02,23.78,28535.0
2026-03-01,9,23835.0,4.19,9.68,8309.0,8702.0,11637.0,27.36,27.04,25.45,28648.0
2026-03-01,10,24507.0,3.77,10.01,8307.0,8713.0,11110.0,27.35,27.04,23.97,28131.0
2026-03-01,11,25023.0,3.49,9.94,8080.0,8486.0,10258.0,25.96,25.69,21.16,26824.0
2026-03-01,12,25343.0,3.45,9.62,7558.0,7853.0,9188.0,23.06,22.91,17.49,24599.0
2026-03-01,13,25393.0,3.57,9.04,7547.0,7859.0,8299.0,23.09,22.9,14.93,23705.0
2026-03-01,14,25206.0,3.73,8.79,7508.0,7791.0,8301.0,22.83,22.64,14.76,23600.0
2026-03-01,15,25276.0,3.88,8.69,7579.0,7885.0,8277.0,23.28,23.07,14.76,23741.0
2026-03-01,16,25064.0,3.97,8.57,7972.0,8286.0,8984.0,25.48,25.18,17.03,25242.0
2026-03-01,17,25220.0,3.83,8.34,8243.0,8607.0,10368.0,27.17,26.83,22.17,27218.0
2026-03-01,18,25380.0,3.64,7.61,8057.0,8379.0,10397.0,26.36,26.04,22.96,26832.0
2026-03-01,19,25529.0,3.53,7.1,7969.0,8295.0,9524.0,26.23,25.94,20.27,25788.0
2026-03-01,20,25585.0,3.55,6.85,7532.0,7787.0,9211.0,23.66,23.45,19.26,24530.0
2026-03-01,21,25268.0,3.75,6.7,6436.0,6592.0,8300.0,18.14,18.13,16.12,21328.0
2026-03-01,22,20733.0,4.19,6.72,1239.0,8718.0,5991.0,11.7,12.04,10.08,15949.0
2026-03-01,23,15474.0,4.58,7.0,-213.0,7931.0,4953.0,8.3,8.75,7.64,12671.0
2026-03-02,0,15966.0,4.81,7.42,-204.0,8494.0,5112.0,8.16,8.61,7.52,13402.0
2026-03-02,1,15919.0,5.11,7.64,-212.0,7997.0,5018.0,7.69,8.16,7.52,12803.0
2026-03-02,2,14206.0,5.31,7.93,-210.0,7416.0,4917.0,7.18,7.65,7.52,12122.0
2026-03-02,3,14436.0,5.55,8.23,-212.0,7330.0,4916.0,7.14,7.61,7.52,12034.0
2026-03-02,4,16883.0,5.72,8.47,-209.0,9612.0,6616.0,10.78,11.18,11.7,16019.0
2026-03-02,5,21319.0,5.66,8.47,3514.0,10461.0,8944.0,19.95,20.05,18.41,22919.0
