date,hour,KT_Qin,KT_Level,KT_Inlet,KT_F_Sukhum,KT_F_Praka,KT_F_Ram4_1500,KT_F_Ram4_1000,KT_P_Sukhum,KT_P_Praka,KT_P_Ram4_1500,KT_P_Ram4_1000,TotalFlow
2026-03-01,0,3371.0,3.31,13.56,3413.0,2627.0,1648.0,260.0,4.01,4.31,3.21,4.55,7949.0
2026-03-01,1,3297.0,3.74,13.0,3325.0,2934.0,1549.0,273.0,4.22,4.61,3.57,4.86,8080.0
2026-03-01,2,2964.0,4.15,13.64,3231.0,2860.0,1260.0,253.0,4.36,4.72,3.81,4.96,7605.0
2026-03-01,3,4189.0,4.58,13.31,3016.0,2598.0,1017.0,265.0,4.3,4.48,3.72,4.71,6896.0
2026-03-01,4,7480.0,5.14,12.77,3571.0,3394.0,2151.0,410.0,4.68,5.85,4.36,6.18,9526.0
2026-03-01,5,13385.0,5.23,12.07,4566.0,4788.0,3068.0,434.0,6.04,8.83,6.2,9.84,12856.0
2026-03-01,6,16167.0,5.35,12.51,5161.0,5423.0,3107.0,468.0,7.62,11.02,8.0,12.2,14160.0
2026-03-01,7,14323.0,5.42,13.09,5120.0,5564.0,2657.0,501.0,7.49,11.68,7.89,12.82,13842.0
2026-03-01,8,13480.0,5.29,12.84,5213.0,5621.0,2477.0,547.0,7.2,11.57,7.58,12.73,13858.0
2026-03-01,9,12569.0,5.01,12.86,5515.0,5798.0,2661.0,499.0,6.96,11.74,7.38,13.0,14473.0
2026-03-01,10,12572.0,4.66,12.71,5315.0,5155.0,2369.0,478.0,6.53,9.75,6.84,10.84,13317.0
2026-03-01,11,12581.0,4.68,12.68,4366.0,3895.0,1414.0,365.0,5.24,6.81,5.27,7.5,10040.0
2026-03-01,12,11157.0,4.94,13.3,4210.0,3509.0,1035.0,350.0,5.0,6.05,4.81,6.64,9103.0
2026-03-01,13,1630.0,5.09,14.22,4335.0,3396.0,1955.0,320.0,5.07,5.97,4.82,6.27,10006.0
2026-03-01,14,12.0,5.1,14.66,4356.0,3399.0,977.0,326.0,5.03,5.94,4.78,6.2,9058.0
2026-03-01,15,12.0,5.11,15.02,4306.0,3446.0,900.0,328.0,5.08,5.98,4.86,6.24,8979.0
2026-03-01,16,8769.0,5.14,14.06,4595.0,3946.0,1344.0,397.0,5.47,6.99,5.43,7.61,10281.0
2026-03-01,17,12406.0,5.1,14.37,5145.0,5066.0,2210.0,453.0,6.51,9.41,6.72,10.44,12875.0
2026-03-01,18,12417.0,4.86,14.37,5151.0,5465.0,2373.0,489.0,6.87,10.91,7.14,12.03,13478.0
2026-03-01,19,11339.0,4.6,14.84,5078.0,5280.0,2469.0,475.0,6.81,10.78,7.09,11.87,13301.0
2026-03-01,20,10051.0,4.09,16.2,5093.0,5326.0,2518.0,465.0,6.76,10.78,7.05,11.88,13402.0
2026-03-01,21,10384.0,3.63,15.73,4761.0,4914.0,2156.0,473.0,6.15,9.51,6.35,10.47,12303.0
2026-03-01,22,5627.0,3.47,16.03,3997.0,3614.0,1117.0,368.0,4.98,6.64,4.83,7.12,9096.0
2026-03-01,23,2493.0,3.67,16.09,3558.0,2634.0,678.0,287.0,4.36,4.92,3.8,5.18,7158.0
2026-03-02,0,2316.0,3.99,14.35,3294.0,2933.0,1482.0,311.0,3.98,4.63,3.16,4.88,8020.0
2026-03-02,1,2465.0,4.3,16.69,3166.0,2842.0,1154.0,283.0,4.08,4.55,3.33,4.81,7445.0
2026-03-02,2,2802.0,4.64,15.73,3063.0,2644.0,1050.0,248.0,4.13,4.57,3.44,4.83,7004.0
2026-03-02,3,2752.0,5.01,15.16,2965.0,2513.0,1078.0,243.0,4.19,4.66,3.55,4.92,6799.0
2026-03-02,4,5829.0,5.38,14.4,3417.0,3406.0,2183.0,317.0,4.58,6.26,4.21,6.66,9324.0
2026-03-02,5,12397.0,5.41,11.94,4425.0,5169.0,3057.0,436.0,6.16,10.07,6.34,11.14,13086.0
2026-03-02,6,12822.0,5.15,12.05,5218.0,5778.0,3133.0,505.0,7.57,11.94,7.95,13.35,14633.0
2026-03-02,7,12909.0,4.7,11.88,5834.0,5899.0,3363.0,557.0,8.24,12.26,8.66,13.85,15653.0
2026-03-02,8,13214.0,4.23,11.92,5997.0,5938.0,3504.0,523.0,8.06,12.26,8.49,13.89,15962.0
2026-03-02,9,13100.0,3.73,11.37,6077.0,5981.0,3477.0,504.0,7.87,12.21,8.3,13.87,16039.0
2026-03-02,10,13335.0,3.33,11.44,5524.0,5250.0,2773.0,470.0,6.72,9.97,7.07,11.3,14016.0
2026-03-02,11,13352.0,3.42,11.49,4513.0,3797.0,2160.0,356.0,5.12,6.72,5.12,7.43,10826.0
2026-03-02,12,3221.0,3.78,12.72,4329.0,3107.0,771.0,322.0,4.77,5.55,4.45,5.87,8528.0
2026-03-02,13,2172.0,4.08,12.8,4307.0,3087.0,784.0,313.0,4.74,5.56,4.35,5.88,8491.0
2026-03-02,14,11995.0,4.37,11.8,4354.0,3268.0,1118.0,356.0,4.89,5.92,4.56,6.5,9096.0
2026-03-02,15,12832.0,4.78,11.69,4382.0,3426.0,1191.0,339.0,4.93,5.99,4.62,6.61,9338.0
2026-03-02,16,12719.0,5.09,11.73,4801.0,4092.0,1555.0,384.0,5.34,7.09,5.26,7.87,10832.0
2026-03-02,17,12724.0,5.03,11.79,5564.0,5292.0,2273.0,471.0,6.64,9.89,6.91,11.08,13600.0
2026-03-02,18,12805.0,4.63,11.62,5909.0,5689.0,3237.0,498.0,7.55,11.39,7.97,12.92,15334.0
2026-03-02,19,12502.0,4.21,12.53,5717.0,5510.0,3173.0,492.0,7.62,11.3,8.03,12.74,14892.0
