date,hour,LA_Qin,LA_Level,LA_Inlet,LA_F_1500,LA_F_1200,LA_P_1500,LA_P_1200,TotalFlow
2026-03-01,0,3834.0,3.01,19.2,5887.0,2165.0,6.0,4.86,8052.0
2026-03-01,1,3845.0,3.35,19.06,5554.0,2087.0,5.9,4.76,7641.0
2026-03-01,2,3888.0,3.7,19.45,5558.0,2094.0,6.32,5.17,7652.0
2026-03-01,3,3887.0,4.05,19.41,5484.0,2068.0,6.52,5.38,7552.0
2026-03-01,4,3859.0,4.4,19.21,5462.0,2056.0,6.47,5.31,7518.0
2026-03-01,5,3830.0,4.75,19.15,5215.0,1984.0,7.21,6.05,7199.0
2026-03-01,6,3812.0,5.09,19.13,7175.0,2673.0,10.15,9.0,9848.0
2026-03-01,7,13735.0,5.19,18.68,11370.0,4466.0,16.65,15.88,15836.0
2026-03-01,8,13578.0,4.89,18.35,12969.0,5084.0,18.87,18.21,18053.0
2026-03-01,9,13569.0,4.51,18.25,13226.0,5196.0,18.86,18.23,18422.0
2026-03-01,10,13553.0,4.1,18.18,13115.0,5138.0,18.07,17.45,18252.0
2026-03-01,11,13696.0,3.78,18.13,11968.0,4700.0,15.71,15.03,16668.0
2026-03-01,12,13888.0,3.64,18.23,10728.0,4203.0,13.06,12.34,14930.0
2026-03-01,13,653.0,3.67,18.25,10578.0,3923.0,12.67,11.65,14501.0
2026-03-01,14,153.0,3.7,18.51,10544.0,3893.0,12.71,11.69,14437.0
2026-03-01,15,154.0,3.73,18.92,10420.0,3834.0,12.59,11.58,14254.0
2026-03-01,16,169.0,3.76,18.79,10365.0,3851.0,12.65,11.65,14216.0
2026-03-01,17,13880.0,3.71,18.42,11748.0,4682.0,15.87,15.25,16429.0
2026-03-01,18,14779.0,3.47,18.33,13202.0,5213.0,18.95,18.4,18415.0
2026-03-01,19,14818.0,3.2,18.43,12990.0,5093.0,18.94,18.37,18083.0
2026-03-01,20,14591.0,2.98,19.2,12491.0,4890.0,18.03,17.41,17380.0
2026-03-01,21,13720.0,2.79,19.56,11510.0,4484.0,16.22,15.5,15994.0
2026-03-01,22,7910.0,2.76,19.08,10714.0,4068.0,13.77,12.87,14781.0
2026-03-01,23,1966.0,2.87,20.62,8465.0,3152.0,10.06,8.97,11617.0
2026-03-02,0,4531.0,3.17,19.24,5995.0,2212.0,6.3,5.18,8206.0
2026-03-02,1,4748.0,3.59,20.28,5835.0,2187.0,6.47,5.35,8022.0
2026-03-02,2,4677.0,4.02,20.01,5552.0,2091.0,6.52,5.38,7643.0
2026-03-02,3,4677.0,4.45,19.86,5357.0,2012.0,6.59,5.44,7369.0
2026-03-02,4,4026.0,4.86,18.13,7412.0,2732.0,9.3,8.17,10144.0
2026-03-02,5,13321.0,5.02,17.3,10425.0,4060.0,15.16,14.38,14485.0
2026-03-02,6,14520.0,4.88,17.25,12633.0,4885.0,18.75,18.08,17518.0
2026-03-02,7,14439.0,4.61,16.99,13172.0,5157.0,18.9,18.27,18329.0
2026-03-02,8,14452.0,4.28,17.01,13352.0,5293.0,19.03,18.4,18644.0
2026-03-02,9,15184.0,3.98,15.97,12791.0,5076.0,18.0,17.35,17867.0
2026-03-02,10,14373.0,3.86,16.76,11238.0,4518.0,14.53,13.86,15756.0
2026-03-02,11,860.0,3.91,17.41,9949.0,3728.0,11.62,10.57,13678.0
2026-03-02,12,161.0,3.93,17.55,10319.0,3827.0,11.86,10.83,14146.0
2026-03-02,13,177.0,3.96,17.68,10314.0,3841.0,11.99,10.96,14155.0
2026-03-02,14,167.0,3.99,17.63,10208.0,3841.0,11.89,10.87,14049.0
2026-03-02,15,180.0,4.01,17.61,10224.0,3836.0,11.96,10.94,14059.0
2026-03-02,16,392.0,4.04,17.5,10282.0,3841.0,12.15,11.15,14123.0
2026-03-02,17,13789.0,3.93,17.56,12021.0,4789.0,15.88,15.26,16810.0
2026-03-02,18,14497.0,3.59,16.9,13279.0,5269.0,18.94,18.4,18547.0
2026-03-02,19,14710.0,3.31,17.17,12993.0,5069.0,18.89,18.31,18061.0
2026-03-02,20,14682.0,3.05,17.53,13037.0,5091.0,18.85,18.27,18129.0
2026-03-02,21,13407.0,2.81,18.3,11776.0,4640.0,16.67,15.97,16416.0
2026-03-02,22,12576.0,2.64,18.77,10241.0,4031.0,13.03,12.22,14273.0
2026-03-02,23,3155.0,2.76,20.08,7289.0,2748.0,8.3,7.19,10037.0
2026-03-03,0,3522.0,3.06,19.62,5455.0,1976.0,5.46,4.33,7431.0
2026-03-03,1,3485.0,3.38,18.74,5258.0,1930.0,5.43,4.31,7188.0
2026-03-03,2,3504.0,3.7,19.07,5213.0,1968.0,5.78,4.64,7181.0
2026-03-03,3,3564.0,4.02,19.48,5242.0,1985.0,6.07,4.93,7227.0
2026-03-03,4,3568.0,4.34,19.45,5238.0,1976.0,6.09,4.94,7214.0
2026-03-03,5,3603.0,4.67,19.94,5157.0,1982.0,6.82,5.67,7139.0
2026-03-03,6,3411.0,4.99,19.0,7625.0,2865.0,10.29,9.15,10490.0
2026-03-03,7,14146.0,5.06,18.13,11619.0,4572.0,16.32,15.56,16191.0
2026-03-03,8,14543.0,4.78,17.54,13182.0,5225.0,18.86,18.22,18408.0
2026-03-03,9,14841.0,4.48,16.76,13290.0,5249.0,18.88,18.25,18538.0
2026-03-03,10,14886.0,4.19,16.83,13141.0,5138.0,18.07,17.45,18279.0
2026-03-03,11,14844.0,3.99,16.85,12158.0,4743.0,16.14,15.48,16901.0
2026-03-03,12,14224.0,3.91,16.71,10900.0,4294.0,13.37,12.63,15195.0
2026-03-03,13,189.0,3.99,17.67,10106.0,3726.0,11.83,10.8,13832.0
2026-03-03,14,177.0,4.01,17.63,10003.0,3706.0,11.85,10.83,13709.0
2026-03-03,15,149.0,4.04,17.67,10012.0,3692.0,11.89,10.89,13704.0
2026-03-03,16,161.0,4.07,17.37,10184.0,3800.0,12.13,11.14,13984.0
2026-03-03,17,11556.0,3.93,18.18,11964.0,4711.0,15.94,15.32,16675.0
2026-03-03,18,12261.0,3.44,17.98,13316.0,5235.0,18.9,18.39,18551.0
2026-03-03,19,14087.0,3.0,16.76,13050.0,5142.0,18.85,18.29,18192.0
2026-03-03,20,14296.0,2.7,17.07,12613.0,4960.0,17.99,17.39,17573.0
2026-03-03,21,14589.0,2.52,17.59,11667.0,4518.0,16.17,15.48,16185.0
2026-03-03,22,8439.0,2.52,18.63,10695.0,4005.0,13.71,12.83,14700.0
2026-03-03,23,1823.0,2.6,19.98,8663.0,3199.0,10.3,9.22,11862.0
2026-03-04,0,4701.0,2.9,18.94,6089.0,2246.0,6.2,5.08,8335.0
2026-03-04,1,4767.0,3.33,19.06,5923.0,2195.0,6.39,5.27,8117.0
2026-03-04,2,4869.0,3.77,19.65,5763.0,2125.0,6.74,5.61,7888.0
2026-03-04,3,4959.0,4.22,20.29,5589.0,2080.0,6.81,5.67,7669.0
2026-03-04,4,6809.0,4.65,18.56,7721.0,2882.0,9.58,8.51,10603.0
2026-03-04,5,14119.0,4.76,18.9,10716.0,4196.0,15.37,14.58,14912.0
2026-03-04,6,14066.0,4.57,18.22,12829.0,5034.0,18.74,18.1,17863.0
2026-03-04,7,13612.0,4.21,17.25,13266.0,5178.0,18.85,18.24,18444.0
2026-03-04,8,14554.0,3.82,15.99,13335.0,5267.0,19.0,18.38,18602.0
2026-03-04,9,15609.0,3.58,15.06,12716.0,5071.0,17.96,17.29,17787.0
2026-03-04,10,14881.0,3.51,15.6,11254.0,4506.0,14.59,13.81,15760.0
2026-03-04,11,179.0,3.59,17.72,9970.0,3718.0,11.79,10.73,13688.0
2026-03-04,12,169.0,3.62,17.77,10098.0,3723.0,11.67,10.63,13821.0
2026-03-04,13,151.0,3.65,17.83,10099.0,3778.0,11.69,10.65,13877.0
2026-03-04,14,169.0,3.68,18.22,10231.0,3834.0,11.94,10.92,14064.0
2026-03-04,15,176.0,3.7,18.58,10235.0,3853.0,11.98,10.96,14088.0
2026-03-04,16,883.0,3.73,18.53,10270.0,3869.0,12.12,11.13,14139.0
2026-03-04,17,12902.0,3.59,19.05,11990.0,4811.0,15.82,15.19,16801.0
2026-03-04,18,14412.0,3.2,17.57,13334.0,5317.0,18.92,18.39,18651.0
2026-03-04,19,15195.0,2.92,16.83,13055.0,5154.0,18.85,18.28,18209.0
2026-03-04,20,15276.0,2.7,16.72,12981.0,5099.0,18.82,18.23,18080.0
2026-03-04,21,15154.0,2.53,16.59,12094.0,4756.0,17.01,16.36,16850.0
2026-03-04,22,15306.0,2.54,17.58,10490.0,4134.0,13.22,12.43,14624.0
2026-03-04,23,6157.0,2.87,17.51,7952.0,2976.0,9.0,7.9,10928.0
2026-03-05,0,5307.0,3.39,18.45,6133.0,2307.0,6.26,5.13,8440.0
2026-03-05,1,5184.0,3.85,18.32,5876.0,2224.0,6.29,5.16,8100.0
2026-03-05,2,5390.0,4.33,19.07,5634.0,2119.0,6.38,5.25,7752.0
