date,hour,LK_Qin,LK_Level,LK_Inlet,LK_F_Meen,LK_F_Ladkra,LK_P,TotalFlow
2026-03-01,0,11411.0,3.19,6.65,2090.0,4602.0,5.43,6692.0
2026-03-01,1,11134.0,3.73,7.26,1854.0,4904.0,5.27,6758.0
2026-03-01,2,11042.0,4.26,7.53,1974.0,4847.0,5.65,6822.0
2026-03-01,3,10872.0,4.76,7.71,1990.0,4925.0,5.79,6915.0
2026-03-01,4,9003.0,5.17,7.92,1991.0,4523.0,5.66,6513.0
2026-03-01,5,8151.0,5.37,7.9,2528.0,5128.0,7.16,7656.0
2026-03-01,6,11522.0,5.37,7.59,3760.0,7900.0,10.97,11660.0
2026-03-01,7,14082.0,5.17,7.33,5045.0,11043.0,14.42,16088.0
2026-03-01,8,14607.0,4.89,7.08,5583.0,11756.0,15.26,17339.0
2026-03-01,9,14536.0,4.5,7.0,5713.0,11911.0,15.51,17624.0
2026-03-01,10,14775.0,4.14,7.53,5397.0,11427.0,14.75,16824.0
2026-03-01,11,14069.0,3.92,7.73,5049.0,10786.0,13.1,15836.0
2026-03-01,12,14060.0,3.68,8.07,4814.0,10500.0,11.61,15314.0
2026-03-01,13,13820.0,3.64,8.23,4265.0,8996.0,9.77,13261.0
2026-03-01,14,13927.0,3.79,6.81,3713.0,8224.0,9.28,11937.0
2026-03-01,15,13694.0,4.03,5.89,3641.0,8158.0,9.26,11799.0
2026-03-01,16,13340.0,4.24,5.29,3631.0,8020.0,9.18,11651.0
2026-03-01,17,12761.0,4.33,4.99,4263.0,9163.0,11.01,13426.0
2026-03-01,18,12816.0,4.08,4.8,5107.0,10283.0,14.01,15390.0
2026-03-01,19,12999.0,3.69,4.83,5344.0,10843.0,15.23,16187.0
2026-03-01,20,13633.0,3.31,4.98,5401.0,10835.0,15.15,16236.0
2026-03-01,21,14228.0,2.99,5.06,5371.0,11139.0,14.64,16510.0
2026-03-01,22,15573.0,2.79,5.36,5243.0,10846.0,13.6,16089.0
2026-03-01,23,16529.0,2.79,5.83,4670.0,10787.0,12.04,15456.0
2026-03-02,0,11211.0,3.11,6.73,3607.0,3903.0,6.48,7510.0
2026-03-02,1,11255.0,3.54,7.18,3516.0,3957.0,6.63,7474.0
