date,hour,LP_Qin,LP_Level,LP_Inlet,LP_F_Sarasin,LP_F_Sathon,LP_P_Sarasin,LP_P_Sathon,TotalFlow
2026-03-01,0,6730.0,2.11,14.02,2837.0,4032.0,0.96,4.3,6870.0
2026-03-01,1,3745.0,2.62,13.65,2743.0,3054.0,1.37,4.75,5797.0
2026-03-01,2,3780.0,3.1,14.21,2886.0,3202.0,1.75,5.22,6089.0
2026-03-01,3,3755.0,3.47,14.0,2896.0,3204.0,1.74,5.21,6101.0
2026-03-01,4,3780.0,4.01,13.91,1643.0,1920.0,1.48,4.22,3563.0
2026-03-01,5,8023.0,4.52,12.88,2281.0,4200.0,2.95,5.88,6481.0
2026-03-01,6,11169.0,5.1,13.42,4186.0,7109.0,5.24,9.44,11295.0
2026-03-01,7,11237.0,5.22,13.89,5369.0,8878.0,5.95,11.44,14248.0
2026-03-01,8,10733.0,5.13,13.63,5551.0,9265.0,5.71,11.44,14817.0
2026-03-01,9,10552.0,4.95,13.55,5708.0,9415.0,5.49,11.44,15123.0
2026-03-01,10,10525.0,4.8,13.44,5476.0,8996.0,4.9,10.59,14471.0
2026-03-01,11,10519.0,4.66,13.44,5788.0,9258.0,4.33,10.45,15046.0
2026-03-01,12,10680.0,4.54,13.89,5703.0,8960.0,3.99,10.03,14662.0
2026-03-01,13,10848.0,4.45,14.39,5665.0,8691.0,3.91,9.94,14356.0
2026-03-01,14,10906.0,4.41,14.68,5685.0,8782.0,3.89,9.95,14467.0
2026-03-01,15,11014.0,4.36,15.02,5617.0,8838.0,3.99,9.95,14455.0
2026-03-01,16,10910.0,4.31,14.57,5551.0,8700.0,4.28,10.18,14251.0
2026-03-01,17,8970.0,4.06,15.66,5418.0,8830.0,5.06,10.72,14248.0
2026-03-01,18,8852.0,3.73,15.64,5411.0,8829.0,5.29,10.95,14240.0
2026-03-01,19,8870.0,3.36,15.93,5387.0,8884.0,5.31,10.95,14272.0
2026-03-01,20,9118.0,2.98,16.99,5422.0,8973.0,5.27,10.95,14395.0
2026-03-01,21,10023.0,2.7,16.21,5228.0,8483.0,4.61,10.12,13711.0
2026-03-01,22,9841.0,2.62,16.37,5052.0,8027.0,3.57,8.92,13079.0
2026-03-01,23,9273.0,2.56,16.54,4543.0,6930.0,2.53,7.39,11473.0
2026-03-02,0,6315.0,2.72,15.1,2666.0,3700.0,1.0,4.31,6365.0
2026-03-02,1,2351.0,3.1,17.66,2866.0,3135.0,1.36,4.85,6002.0
2026-03-02,2,2215.0,3.35,16.44,2745.0,3007.0,1.46,4.86,5752.0
2026-03-02,3,3049.0,3.49,15.65,2645.0,2893.0,1.56,4.88,5538.0
2026-03-02,4,7882.0,3.96,14.85,1996.0,3787.0,1.6,4.35,5783.0
