date,hour,MB_Qin,MB_Level,MB_Inlet,MB_F_Nimit,MB_F_Ram,MB_F_Suwin,MB_P_Nimit,MB_P_Ram,MB_P_Suwin,TotalFlow
2026-03-01,0,16025.0,5.66,8.29,3110.0,3178.0,4243.0,7.03,6.94,7.57,10532.0
2026-03-01,1,12709.0,5.89,11.09,2937.0,3062.0,4088.0,7.06,6.98,7.59,10088.0
2026-03-01,2,12224.0,6.03,11.62,2749.0,2857.0,3908.0,6.94,6.88,7.47,9515.0
2026-03-01,3,12208.0,6.19,11.61,2698.0,2812.0,3868.0,6.91,6.85,7.43,9379.0
2026-03-01,4,16228.0,6.44,7.35,2802.0,2950.0,4087.0,6.98,6.91,7.49,9839.0
2026-03-01,5,16411.0,6.76,6.41,3571.0,3809.0,5408.0,10.85,10.68,11.22,12788.0
2026-03-01,6,17700.0,6.83,6.45,5075.0,5262.0,7168.0,17.09,16.75,17.64,17505.0
2026-03-01,7,17622.0,6.74,6.44,5910.0,6058.0,8238.0,19.67,19.21,20.33,20206.0
2026-03-01,8,17160.0,6.53,6.43,6265.0,6375.0,8530.0,19.92,19.42,20.62,21170.0
2026-03-01,9,17064.0,6.24,6.45,6521.0,6535.0,8619.0,20.06,19.54,20.8,21674.0
2026-03-01,10,17335.0,5.95,6.46,6470.0,6450.0,8474.0,20.09,19.58,20.82,21394.0
2026-03-01,11,17456.0,5.74,6.46,5930.0,5920.0,7725.0,17.43,17.02,18.23,19575.0
2026-03-01,12,17584.0,5.68,6.58,5318.0,5324.0,6952.0,14.34,13.99,15.02,17593.0
2026-03-01,13,17557.0,5.7,6.59,5170.0,5213.0,6807.0,13.97,13.64,14.63,17191.0
2026-03-01,14,17610.0,5.73,6.61,5104.0,5122.0,6788.0,13.95,13.62,14.61,17013.0
2026-03-01,15,17732.0,5.77,6.61,5065.0,5081.0,6754.0,13.93,13.62,14.57,16899.0
2026-03-01,16,17569.0,5.77,6.62,5550.0,5636.0,7514.0,16.4,15.98,16.98,18700.0
2026-03-01,17,17197.0,5.61,6.83,6127.0,6355.0,8263.0,19.02,18.45,19.68,20745.0
2026-03-01,18,17199.0,5.4,6.86,6168.0,6286.0,8133.0,19.37,18.85,20.05,20587.0
2026-03-01,19,17184.0,5.22,6.95,5944.0,5962.0,7788.0,19.24,18.8,19.91,19693.0
2026-03-01,20,16139.0,5.06,8.13,5586.0,5581.0,7328.0,17.5,17.11,18.22,18495.0
2026-03-01,21,16019.0,4.97,8.25,4838.0,4778.0,6418.0,14.26,14.0,14.9,16034.0
2026-03-01,22,16967.0,5.07,8.47,4144.0,4041.0,5279.0,11.04,10.89,11.69,13464.0
2026-03-01,23,17643.0,5.37,8.62,3325.0,3211.0,4215.0,8.37,8.31,9.02,10751.0
2026-03-02,0,16053.0,5.75,8.16,3050.0,3126.0,4122.0,7.09,7.03,7.69,10298.0
2026-03-02,1,16310.0,6.09,7.56,2801.0,2888.0,3862.0,6.82,6.77,7.37,9551.0
2026-03-02,2,15718.0,6.49,8.48,2666.0,2764.0,3700.0,6.76,6.72,7.31,9129.0
2026-03-02,3,13585.0,6.79,10.78,2722.0,2851.0,3841.0,7.25,7.2,7.77,9414.0
2026-03-02,4,14041.0,6.98,9.7,3305.0,3575.0,4874.0,9.79,9.66,10.18,11754.0
2026-03-02,5,15689.0,7.01,6.54,4806.0,4994.0,6825.0,15.74,15.45,16.21,16625.0
2026-03-02,6,16374.0,6.85,6.41,5949.0,6047.0,8073.0,19.59,19.15,20.25,20070.0
2026-03-02,7,16886.0,6.6,6.42,6382.0,6369.0,8389.0,19.64,19.16,20.38,21140.0
2026-03-02,8,16804.0,6.32,6.43,6420.0,6385.0,8386.0,19.67,19.19,20.43,21191.0
2026-03-02,9,16838.0,6.05,6.44,6262.0,6224.0,8245.0,19.64,19.2,20.37,20731.0
2026-03-02,10,17219.0,5.84,6.45,5699.0,5616.0,7354.0,16.89,16.53,17.65,18669.0
2026-03-02,11,17159.0,5.81,6.44,5121.0,5051.0,6687.0,13.99,13.68,14.63,16859.0
2026-03-02,12,17244.0,5.83,6.76,4989.0,5005.0,6637.0,13.42,13.11,14.05,16632.0
2026-03-02,13,17395.0,5.88,6.91,4927.0,4990.0,6676.0,13.43,13.11,14.06,16592.0
2026-03-02,14,17357.0,5.94,6.98,4843.0,4881.0,6561.0,13.42,13.11,14.0,16285.0
2026-03-02,15,17309.0,5.99,7.08,4872.0,4929.0,6627.0,13.41,13.09,14.01,16429.0
