date,hour,PK_Qin,PK_Level,PK_Inlet,PK_F,PK_P,PK_ZM01,PK_ZM02,TotalFlow
2026-03-01,0,11500.0,4.64,11.13,8244.0,7.14,5644.75,2573.5,8218.25
2026-03-01,1,10929.0,5.0,10.16,7382.0,6.24,5147.58,2220.47,7368.05
2026-03-01,2,10392.0,5.38,10.5,6618.0,5.77,4684.22,1923.73,6607.95
2026-03-01,3,10363.0,5.79,10.67,6461.0,5.73,4616.38,1845.95,6462.33
2026-03-01,4,10564.0,6.2,11.02,6525.0,6.0,4642.97,1877.47,6520.43
2026-03-01,5,10100.0,6.48,16.29,8641.0,8.94,5935.08,2779.7,8714.78
2026-03-01,6,13741.0,6.61,17.57,12665.0,15.64,8625.17,4125.22,12750.38
2026-03-01,7,16150.0,6.58,16.31,18409.0,27.36,12229.27,6248.1,18477.37
2026-03-01,8,16118.0,6.21,16.14,20907.0,33.25,13771.9,7153.05,20924.95
2026-03-01,9,15917.0,5.72,15.9,21111.0,33.93,13859.48,7250.77,21110.25
2026-03-01,10,15440.0,5.24,15.94,20132.0,31.21,13244.67,6870.35,20115.02
2026-03-01,11,14756.0,4.79,16.35,18445.0,27.07,12207.53,6189.27,18396.8
2026-03-01,12,14692.0,4.55,16.25,16481.0,22.25,10986.5,5467.93,16454.43
2026-03-01,13,14673.0,4.47,16.2,14740.0,18.43,9858.22,4860.45,14718.67
2026-03-01,14,14275.0,4.52,15.7,13678.0,16.35,9157.98,4501.8,13659.78
2026-03-01,15,14759.0,4.65,15.41,13113.0,15.36,8823.43,4290.78,13114.22
2026-03-01,16,14910.0,4.79,15.61,14486.0,18.07,9667.22,4865.13,14532.35
2026-03-01,17,14944.0,4.71,15.67,16735.0,22.76,11059.73,5699.55,16759.28
2026-03-01,18,14905.0,4.5,15.58,17603.0,24.88,11629.32,5975.88,17605.2
2026-03-01,19,14832.0,4.22,15.52,17919.0,25.99,11859.18,6067.37,17926.55
2026-03-01,20,14772.0,3.92,15.45,17887.0,25.9,11857.78,6021.23,17879.02
2026-03-01,21,14730.0,3.69,15.41,16571.0,22.92,11014.85,5536.77,16551.62
2026-03-01,22,14751.0,3.63,15.43,14318.0,17.98,9470.88,4785.23,14256.12
2026-03-01,23,14789.0,3.89,15.47,10507.0,11.29,7014.42,3428.35,10442.77
