date,hour,RB_Qin,RB_Level,RB_Inlet,RB_F_Ram2,RB_F_Yairom,RB_P_Ram2,RB_P_Yairom,TotalFlow
2026-03-01,0,14898.0,4.12,4.21,6254.0,4620.0,11.42,8.1,10874.0
2026-03-01,1,12769.0,4.42,4.0,5875.0,4326.0,11.05,7.82,10201.0
2026-03-01,2,12797.0,4.72,4.27,5331.0,4354.0,10.43,8.12,9685.0
2026-03-01,3,12489.0,5.05,4.51,4706.0,5072.0,9.74,9.89,9778.0
2026-03-01,4,12873.0,5.22,4.81,4314.0,7930.0,10.39,18.85,12245.0
2026-03-01,5,17131.0,5.32,6.14,4605.0,10300.0,11.85,28.27,14905.0
2026-03-01,6,17939.0,5.5,6.58,7083.0,11183.0,15.49,32.03,18267.0
2026-03-01,7,17297.0,5.17,5.98,10152.0,11494.0,20.47,32.2,21646.0
2026-03-01,8,17687.0,4.59,5.58,11367.0,11626.0,22.68,32.2,22992.0
2026-03-01,9,18089.0,3.98,5.13,11235.0,11675.0,22.36,32.2,22911.0
2026-03-01,10,18542.0,3.5,4.8,10072.0,11556.0,19.3,31.3,21628.0
2026-03-01,11,18940.0,3.28,4.73,8535.0,10988.0,15.73,28.54,19523.0
2026-03-01,12,18848.0,3.27,4.71,7734.0,10525.0,14.09,26.71,18259.0
2026-03-01,13,18570.0,3.39,4.7,6544.0,10242.0,11.76,25.53,16786.0
2026-03-01,14,17407.0,3.54,4.63,6222.0,10187.0,11.39,25.52,16409.0
2026-03-01,15,17119.0,3.63,4.58,6153.0,10149.0,11.38,25.53,16302.0
2026-03-01,16,17519.0,3.67,4.74,7390.0,10678.0,14.08,28.06,18069.0
2026-03-01,17,17911.0,3.44,4.62,9266.0,11374.0,18.75,31.93,20640.0
2026-03-01,18,18246.0,3.1,4.32,9544.0,11482.0,19.45,32.36,21025.0
2026-03-01,19,18378.0,2.81,4.14,9094.0,11448.0,18.35,32.41,20542.0
2026-03-01,20,18509.0,2.57,3.94,8633.0,11508.0,17.22,32.4,20140.0
2026-03-01,21,18506.0,2.45,3.8,7402.0,11150.0,14.69,30.75,18552.0
2026-03-01,22,18373.0,2.58,3.85,5744.0,9706.0,11.16,23.9,15450.0
2026-03-01,23,17977.0,3.06,4.19,4731.0,7717.0,9.36,16.56,12448.0
2026-03-02,0,11796.0,3.5,3.11,5448.0,4738.0,10.11,8.6,10186.0
2026-03-02,1,11158.0,3.61,3.09,5463.0,4092.0,10.42,7.6,9555.0
2026-03-02,2,13328.0,3.9,3.64,4862.0,4147.0,9.51,7.72,9009.0
2026-03-02,3,14338.0,4.44,4.29,4401.0,5224.0,9.48,10.45,9625.0
2026-03-02,4,14426.0,4.87,4.8,4266.0,7797.0,10.28,18.43,12063.0
2026-03-02,5,15103.0,4.92,5.02,5183.0,10616.0,12.46,29.16,15799.0
2026-03-02,6,17694.0,4.69,5.65,9151.0,11420.0,18.36,32.08,20571.0
2026-03-02,7,19531.0,4.31,5.88,11737.0,11692.0,23.37,32.41,23429.0
2026-03-02,8,18958.0,3.83,5.26,11140.0,11556.0,22.15,32.41,22696.0
2026-03-02,9,19136.0,3.46,5.0,9839.0,11592.0,19.1,32.41,21431.0
2026-03-02,10,19127.0,3.3,4.82,7777.0,11385.0,14.28,30.86,19162.0
2026-03-02,11,18898.0,3.41,4.91,6206.0,10999.0,11.18,28.33,17205.0
2026-03-02,12,18175.0,3.58,4.81,6356.0,10189.0,11.43,25.29,16545.0
2026-03-02,13,17451.0,3.76,4.8,6337.0,9677.0,11.36,23.01,16013.0
2026-03-02,14,17108.0,3.91,4.88,6072.0,9608.0,11.01,23.03,15680.0
2026-03-02,15,16950.0,4.06,4.92,6036.0,9612.0,10.94,23.04,15648.0
2026-03-02,16,16874.0,4.11,4.95,7515.0,10216.0,13.75,26.12,17731.0
2026-03-02,17,16855.0,3.82,4.57,9077.0,11188.0,17.55,31.06,20266.0
2026-03-02,18,17251.0,3.39,4.28,9504.0,11511.0,18.56,32.39,21014.0
2026-03-02,19,17518.0,2.98,4.03,9125.0,11487.0,17.78,32.42,20612.0
2026-03-02,20,17748.0,2.65,3.72,8862.0,11512.0,17.1,32.34,20374.0
2026-03-02,21,17755.0,2.41,3.61,7797.0,11169.0,14.94,30.49,18966.0
2026-03-02,22,17655.0,2.4,3.49,6445.0,9679.0,12.1,23.65,16124.0
2026-03-02,23,17558.0,2.72,3.78,5281.0,7769.0,10.08,16.64,13050.0
2026-03-03,0,13322.0,3.13,2.98,6118.0,4512.0,11.35,8.09,10631.0
2026-03-03,1,14242.0,3.51,3.37,5763.0,4121.0,10.88,7.56,9884.0
2026-03-03,2,14024.0,4.0,3.78,5174.0,4211.0,10.14,7.9,9385.0
2026-03-03,3,13083.0,4.46,4.08,4615.0,5159.0,9.67,10.21,9774.0
2026-03-03,4,10965.0,4.56,3.89,4203.0,7817.0,10.0,18.15,12020.0
2026-03-03,5,12108.0,4.26,3.8,5078.0,10314.0,12.28,27.97,15393.0
2026-03-03,6,16545.0,3.93,4.61,8098.0,11254.0,16.85,32.06,19352.0
2026-03-03,7,17829.0,3.49,4.57,10973.0,11544.0,21.9,32.37,22518.0
2026-03-03,8,18475.0,2.95,4.22,11151.0,11654.0,22.36,32.63,22806.0
2026-03-03,9,18821.0,2.48,3.92,10389.0,11746.0,20.34,32.69,22135.0
2026-03-03,10,18962.0,2.17,3.74,9177.0,11403.0,17.39,30.93,20580.0
2026-03-03,11,19411.0,2.08,3.82,7887.0,10919.0,14.67,28.39,18806.0
2026-03-03,12,20730.0,2.3,4.37,6975.0,10408.0,12.69,26.37,17383.0
2026-03-03,13,20584.0,2.72,4.71,6233.0,10296.0,11.29,25.53,16529.0
2026-03-03,14,20199.0,3.16,4.98,6053.0,10246.0,11.08,25.53,16299.0
2026-03-03,15,19886.0,3.58,5.29,6050.0,10249.0,11.13,25.55,16299.0
2026-03-03,16,19738.0,3.86,5.49,7914.0,10712.0,14.94,28.51,18626.0
2026-03-03,17,19853.0,3.81,5.4,9787.0,11382.0,19.32,31.9,21168.0
2026-03-03,18,20191.0,3.6,5.39,10231.0,11529.0,20.46,32.59,21761.0
2026-03-03,19,20624.0,3.46,5.41,9832.0,11513.0,19.64,32.6,21345.0
2026-03-03,20,20585.0,3.41,5.38,9074.0,11598.0,17.66,32.55,20672.0
