date,hour,SR_Qin,SR_Level,SR_Inlet,SR_F_1800,SR_F_1000,SR_P_1800,SR_P_1000,TotalFlow
2026-03-01,0,16525.0,3.33,9.1,9972.0,5048.0,8.51,8.63,15020.0
2026-03-01,1,16541.0,3.51,8.48,9268.0,4296.0,7.93,8.23,13564.0
2026-03-01,2,16753.0,3.82,8.84,8654.0,3852.0,7.59,7.97,12506.0
2026-03-01,3,17057.0,4.21,8.17,8446.0,3554.0,7.47,7.91,12000.0
2026-03-01,4,17868.0,4.67,6.91,8403.0,3449.0,7.51,7.98,11853.0
2026-03-01,5,17313.0,5.14,7.05,9342.0,3563.0,9.52,9.93,12905.0
2026-03-01,6,17638.0,5.35,7.3,12459.0,4642.0,14.22,14.46,17101.0
2026-03-01,7,18141.0,5.22,7.27,15357.0,6700.0,18.18,17.86,22057.0
2026-03-01,8,18250.0,4.89,6.99,15885.0,7331.0,18.59,18.07,23216.0
2026-03-01,9,18535.0,4.52,6.61,15720.0,7294.0,18.23,17.7,23014.0
2026-03-01,10,18604.0,4.22,6.25,15137.0,7090.0,16.83,16.4,22227.0
2026-03-01,11,18736.0,4.01,6.08,13975.0,6979.0,15.12,14.69,20953.0
2026-03-01,12,19222.0,3.92,6.01,13255.0,6845.0,14.0,13.6,20100.0
2026-03-01,13,19703.0,3.89,6.04,13114.0,6863.0,14.13,13.71,19978.0
2026-03-01,14,19092.0,3.9,7.2,12721.0,6766.0,13.65,13.26,19487.0
2026-03-01,15,18859.0,3.89,7.85,12593.0,6546.0,13.53,13.21,19139.0
2026-03-01,16,18478.0,3.88,7.7,12655.0,6521.0,13.61,13.3,19176.0
2026-03-01,17,18738.0,3.84,7.73,13064.0,6485.0,14.31,14.01,19550.0
2026-03-01,18,18716.0,3.77,7.64,13789.0,6806.0,15.33,14.94,20595.0
2026-03-01,19,19055.0,3.67,7.66,13493.0,6699.0,15.07,14.73,20192.0
2026-03-01,20,18032.0,3.6,10.25,13424.0,6542.0,14.76,14.47,19966.0
2026-03-01,21,17381.0,3.45,10.61,12798.0,6264.0,13.58,13.4,19062.0
2026-03-01,22,17528.0,3.39,10.54,11930.0,6001.0,11.75,11.65,17931.0
2026-03-01,23,20324.0,3.54,6.94,11037.0,5461.0,10.55,10.62,16498.0
2026-03-02,0,19021.0,3.96,6.96,8968.0,4476.0,7.59,7.91,13444.0
2026-03-02,1,15808.0,4.32,13.04,8582.0,3926.0,7.45,7.88,12508.0
2026-03-02,2,14951.0,4.58,12.88,8469.0,3858.0,7.49,7.93,12327.0
2026-03-02,3,14525.0,4.77,12.7,8518.0,3855.0,7.68,8.13,12373.0
2026-03-02,4,14085.0,4.95,12.47,8573.0,3727.0,7.92,8.37,12300.0
2026-03-02,5,17137.0,5.19,7.05,10413.0,3620.0,10.8,11.26,14033.0
2026-03-02,6,17258.0,5.21,7.07,15015.0,5537.0,17.71,17.77,20552.0
2026-03-02,7,17457.0,4.81,6.71,16587.0,7380.0,20.47,19.95,23966.0
2026-03-02,8,17959.0,4.33,6.36,16441.0,7567.0,20.2,19.58,24008.0
2026-03-02,9,17823.0,3.9,5.88,15696.0,7113.0,18.81,18.36,22809.0
2026-03-02,10,18158.0,3.61,5.6,14558.0,6457.0,16.5,16.28,21015.0
2026-03-02,11,18301.0,3.42,5.46,13884.0,6878.0,14.87,14.48,20762.0
2026-03-02,12,19068.0,3.29,5.44,13560.0,7025.0,14.63,14.16,20585.0
2026-03-02,13,19200.0,3.19,5.36,13682.0,7055.0,14.77,14.29,20738.0
2026-03-02,14,18812.0,3.08,5.26,13562.0,6872.0,14.7,14.29,20434.0
2026-03-02,15,18749.0,2.98,5.11,13618.0,6561.0,14.79,14.49,20179.0
2026-03-02,16,18864.0,2.9,5.01,13591.0,6501.0,14.87,14.57,20093.0
2026-03-02,17,18937.0,2.82,5.0,14376.0,6444.0,16.47,16.21,20820.0
2026-03-02,18,18948.0,2.66,4.79,15132.0,6603.0,17.92,17.65,21736.0
2026-03-02,19,19655.0,2.49,4.72,15005.0,6877.0,17.81,17.44,21882.0
2026-03-02,20,20215.0,2.38,4.7,14827.0,6733.0,17.35,17.04,21560.0
2026-03-02,21,20141.0,2.35,4.61,14055.0,6192.0,16.02,15.88,20247.0
2026-03-02,22,19942.0,2.46,4.71,12405.0,5369.0,12.8,12.89,17773.0
2026-03-02,23,20761.0,2.73,5.05,11219.0,5264.0,10.66,10.52,16483.0
2026-03-03,0,19735.0,3.18,5.34,9597.0,4295.0,8.23,8.35,13892.0
2026-03-03,1,18527.0,3.62,5.6,9194.0,4079.0,7.88,8.08,13273.0
2026-03-03,2,18542.0,4.09,6.09,8747.0,3647.0,7.5,7.82,12394.0
2026-03-03,3,18643.0,4.6,6.62,8679.0,3566.0,7.66,7.99,12245.0
2026-03-03,4,15898.0,5.06,9.36,8631.0,3452.0,7.81,8.17,12083.0
2026-03-03,5,16772.0,5.32,9.0,10086.0,3563.0,10.38,10.71,13649.0
2026-03-03,6,16980.0,5.41,9.16,13513.0,5382.0,15.39,15.03,18895.0
2026-03-03,7,18283.0,5.15,7.18,15751.0,7118.0,18.48,17.34,22870.0
2026-03-03,8,18280.0,4.81,6.89,15759.0,7314.0,18.23,16.97,23073.0
2026-03-03,9,18004.0,4.43,6.68,15726.0,7407.0,18.33,17.0,23133.0
2026-03-03,10,18420.0,4.1,6.41,14953.0,7074.0,16.88,15.72,22028.0
2026-03-03,11,18575.0,3.89,6.12,14290.0,6754.0,15.58,14.6,21044.0
2026-03-03,12,18387.0,3.74,6.0,13630.0,6434.0,14.58,13.74,20065.0
2026-03-03,13,18521.0,3.66,6.11,13457.0,6377.0,14.33,13.53,19834.0
2026-03-03,14,18183.0,3.57,5.69,13356.0,6399.0,14.47,13.64,19756.0
2026-03-03,15,18217.0,3.48,5.56,12954.0,6706.0,13.92,12.91,19660.0
2026-03-03,16,18175.0,3.37,5.46,13435.0,6634.0,14.41,13.44,20069.0
2026-03-03,17,18093.0,3.25,5.39,13706.0,6693.0,14.86,13.89,20399.0
2026-03-03,18,18203.0,3.05,5.19,14276.0,7139.0,15.47,14.28,21414.0
2026-03-03,19,18540.0,2.85,5.02,14094.0,7100.0,15.54,14.36,21194.0
2026-03-03,20,18934.0,2.69,5.04,13897.0,6947.0,15.07,13.96,20844.0
2026-03-03,21,20039.0,2.66,5.01,13439.0,6273.0,14.15,13.41,19712.0
2026-03-03,22,20624.0,2.81,5.2,12169.0,5809.0,12.0,11.49,17977.0
2026-03-03,23,20964.0,3.09,5.46,11495.0,5604.0,11.04,10.62,17099.0
2026-03-04,0,19644.0,3.5,5.85,9351.0,4714.0,7.89,7.85,14065.0
2026-03-04,1,19230.0,3.98,6.48,8866.0,4386.0,7.63,7.71,13252.0
2026-03-04,2,18081.0,4.53,7.74,8444.0,3439.0,7.29,7.65,11884.0
2026-03-04,3,13556.0,5.01,10.9,8735.0,3157.0,7.75,8.19,11892.0
