date,hour,TP_Qin,TP_Level,TP_Inlet,TP_F_Wong,TP_F_Petka,TP_F_Thapra,TP_P_Wong,TP_P_Petka,TP_P_Thapra,TotalFlow
2026-03-01,0,10833.0,3.09,5.68,3631.0,1175.0,2701.0,6.0,6.75,6.75,7507.0
2026-03-01,1,11992.0,3.49,4.55,3579.0,1125.0,2630.0,6.0,6.75,6.75,7335.0
2026-03-01,2,12499.0,4.07,4.66,3430.0,1116.0,2558.0,6.02,6.78,6.75,7105.0
2026-03-01,3,12778.0,4.73,4.75,3411.0,1122.0,2505.0,6.05,6.8,6.76,7037.0
2026-03-01,4,12002.0,5.27,5.31,3727.0,1880.0,3732.0,7.63,8.31,8.43,9338.0
2026-03-01,5,13551.0,5.38,7.59,4145.0,2808.0,5218.0,10.61,11.19,11.51,12172.0
2026-03-01,6,12655.0,5.43,8.11,4476.0,2913.0,5437.0,12.0,12.57,12.93,12826.0
2026-03-01,7,12240.0,5.21,7.39,4919.0,3165.0,5909.0,12.7,13.25,13.72,13992.0
2026-03-01,8,12188.0,4.86,7.46,5212.0,3320.0,6185.0,13.03,13.58,14.1,14716.0
2026-03-01,9,12011.0,4.43,7.53,5354.0,3385.0,6301.0,13.21,13.75,14.29,15040.0
2026-03-01,10,11916.0,3.96,7.62,5265.0,3329.0,6208.0,12.97,13.53,14.03,14802.0
2026-03-01,11,12050.0,3.64,7.72,4611.0,2806.0,5267.0,10.99,11.62,11.93,12684.0
2026-03-01,12,12075.0,3.62,7.36,4107.0,2463.0,4635.0,9.22,9.9,10.09,11205.0
2026-03-01,13,12516.0,3.68,7.01,4217.0,2586.0,4832.0,9.29,9.95,10.18,11635.0
2026-03-01,14,14498.0,3.84,5.75,4343.0,2699.0,5059.0,9.42,10.07,10.34,12102.0
2026-03-01,15,14396.0,4.09,5.66,4392.0,2741.0,5117.0,9.54,10.19,10.46,12250.0
2026-03-01,16,13652.0,4.27,6.11,4385.0,2742.0,5121.0,9.81,10.45,10.72,12249.0
2026-03-01,17,13556.0,4.34,6.12,4851.0,3002.0,5635.0,11.47,12.06,12.45,13489.0
2026-03-01,18,13494.0,4.19,6.02,5298.0,3262.0,6145.0,12.96,13.51,14.02,14705.0
2026-03-01,19,13389.0,3.98,5.94,5228.0,3196.0,6052.0,12.93,13.48,13.97,14476.0
2026-03-01,20,13346.0,3.77,5.88,5203.0,3214.0,6109.0,12.94,13.48,13.99,14526.0
